OrderDate,CustomerID,Segment,State,Region,ProductID,Category,SubCategory,Sales,Profit,ShippingCost,OrderPriority
2011/1/4,DP-13000,Consumer,Texas,Central,OFF-PA-10000174,Office Supplies,Paper,16.448,5.5512,1.82,High
2011/1/5,PO-19195,Home Office,Illinois,Central,OFF-ST-10002743,Office Supplies,Storage,272.736,-64.7748,13.59,High
2011/1/5,PO-19195,Home Office,Illinois,Central,OFF-LA-10003223,Office Supplies,Labels,11.784,4.2717,0.99,High
2011/1/5,PO-19195,Home Office,Illinois,Central,OFF-BI-10004094,Office Supplies,Binders,3.54,-5.487,0.55,High
2011/1/6,MB-18085,Consumer,Pennsylvania,East,OFF-AR-10003478,Office Supplies,Art,19.536,4.884,1.85,Low
2011/1/7,LS-17230,Consumer,California,West,OFF-PA-10002005,Office Supplies,Paper,19.44,9.3312,4.37,High
2011/1/7,JO-15145,Corporate,Georgia,South,OFF-AR-10002399,Office Supplies,Art,12.78,5.2398,3.51,Critical
2011/1/7,ME-17320,Home Office,Kentucky,South,FUR-CH-10004063,Furniture,Chairs,2573.82,746.4078,258.99,High
2011/1/7,ME-17320,Home Office,Kentucky,South,OFF-BI-10004632,Office Supplies,Binders,609.98,274.491,88.07,High
2011/1/7,ME-17320,Home Office,Kentucky,South,TEC-PH-10004977,Technology,Phones,391.98,113.6742,62.37,High
2011/1/7,ME-17320,Home Office,Kentucky,South,TEC-PH-10004539,Technology,Phones,755.96,204.1092,13.82,High
2011/1/7,ME-17320,Home Office,Kentucky,South,OFF-FA-10001883,Office Supplies,Fasteners,31.12,0.3112,2.19,High
2011/1/7,ME-17320,Home Office,Kentucky,South,OFF-PA-10000955,Office Supplies,Paper,6.54,3.0084,1.13,High
2011/1/7,ME-17320,Home Office,Kentucky,South,OFF-AR-10001662,Office Supplies,Art,5.48,1.4796,0.52,High
2011/1/8,VS-21820,Consumer,Texas,Central,FUR-FU-10004864,Furniture,Furnishings,76.728,-53.7096,6.69,Medium
2011/1/8,VS-21820,Consumer,Texas,Central,OFF-BI-10003708,Office Supplies,Binders,10.43,-18.2525,0.63,Medium
2011/1/10,MS-17830,Consumer,Texas,Central,TEC-AC-10001266,Technology,Accessories,31.2,9.75,1.13,Medium
2011/1/10,MS-17830,Consumer,Texas,Central,OFF-AR-10004078,Office Supplies,Art,9.344,1.168,0.21,Medium
2011/1/11,AJ-10780,Corporate,Virginia,South,FUR-FU-10000965,Furniture,Furnishings,51.94,21.2954,3.52,Medium
2011/1/11,AJ-10780,Corporate,Virginia,South,OFF-LA-10004272,Office Supplies,Labels,2.89,1.3583,0.22,Medium
2011/1/12,SV-20365,Consumer,Delaware,East,FUR-FU-10000010,Furniture,Furnishings,9.94,3.0814,2.69,Critical
2011/1/14,BD-11605,Consumer,California,West,OFF-ST-10000078,Office Supplies,Storage,1325.85,238.653,187.65,High
2011/1/14,BD-11605,Consumer,California,West,FUR-BO-10003034,Furniture,Bookcases,333.999,3.9294,40.44,High
2011/1/14,BD-11605,Consumer,California,West,OFF-AR-10003514,Office Supplies,Art,19.9,6.567,3.03,High
2011/1/14,MM-17920,Consumer,Ohio,East,OFF-PA-10002947,Office Supplies,Paper,37.408,13.0928,1.46,Medium
2011/1/14,MM-17920,Consumer,Ohio,East,OFF-BI-10003476,Office Supplies,Binders,3.438,-2.5212,0.27,Medium
2011/1/14,ND-18370,Consumer,South Carolina,South,FUR-CH-10000422,Furniture,Chairs,545.94,87.3504,52.32,Medium
2011/1/14,CS-12250,Corporate,Louisiana,South,OFF-ST-10000025,Office Supplies,Storage,572.58,34.3548,146.29,Critical
2011/1/14,CS-12250,Corporate,Louisiana,South,TEC-AC-10003174,Technology,Accessories,646.74,258.696,141.35,Critical
2011/1/14,CS-12250,Corporate,Louisiana,South,OFF-EN-10001532,Office Supplies,Envelopes,50.94,25.47,12.66,Critical
2011/1/14,CS-12250,Corporate,Louisiana,South,OFF-EN-10001990,Office Supplies,Envelopes,11.36,5.3392,2.88,Critical
2011/1/14,CS-12250,Corporate,Louisiana,South,OFF-BI-10004187,Office Supplies,Binders,5.64,2.7072,0.85,Critical
2011/1/15,BS-11590,Corporate,Pennsylvania,East,FUR-BO-10003433,Furniture,Bookcases,61.96,-53.2856,10.96,High
2011/1/16,EH-13990,Consumer,Georgia,South,TEC-AC-10003628,Technology,Accessories,149.95,65.978,45.24,Critical
2011/1/17,DL-13315,Consumer,Pennsylvania,East,FUR-FU-10001095,Furniture,Furnishings,127.104,28.5984,36.4,Critical
2011/1/17,DL-13315,Consumer,Pennsylvania,East,TEC-PH-10004614,Technology,Phones,124.2,-31.05,26.12,Critical
2011/1/17,DL-13315,Consumer,Pennsylvania,East,OFF-LA-10001074,Office Supplies,Labels,30.072,10.1493,10.17,Critical
2011/1/17,DL-13315,Consumer,Pennsylvania,East,OFF-BI-10001575,Office Supplies,Binders,18.588,-13.6312,5.26,Critical
2011/1/19,DW-13195,Corporate,Oregon,West,OFF-AP-10000692,Office Supplies,Appliances,64.864,6.4864,5.04,High
2011/1/20,TS-21340,Consumer,Arizona,West,FUR-BO-10001972,Furniture,Bookcases,181.47,-320.597,29.68,Medium
2011/1/20,TS-21340,Consumer,Arizona,West,OFF-PA-10000659,Office Supplies,Paper,56.064,19.6224,14.49,Medium
2011/1/20,TS-21340,Consumer,Arizona,West,OFF-EN-10002504,Office Supplies,Envelopes,108.72,36.693,10.39,Medium
2011/1/20,TS-21340,Consumer,Arizona,West,OFF-BI-10003676,Office Supplies,Binders,32.34,-23.716,6.03,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,FUR-CH-10002331,Furniture,Chairs,1067.94,224.2674,85.72,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,TEC-PH-10001061,Technology,Phones,699.93,181.9818,31.52,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,OFF-EN-10001539,Office Supplies,Envelopes,23.34,10.9698,2.6,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,FUR-FU-10003194,Furniture,Furnishings,38.6,11.58,2.57,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,OFF-AR-10002375,Office Supplies,Art,22.96,6.6584,1.22,Medium
2011/1/21,HL-15040,Consumer,Arkansas,South,OFF-AR-10003811,Office Supplies,Art,6.63,1.7901,0.47,Medium
2011/1/21,MV-17485,Consumer,California,West,OFF-PA-10002893,Office Supplies,Paper,19.36,9.2928,0.94,Medium
2011/1/21,MV-17485,Consumer,California,West,FUR-FU-10003194,Furniture,Furnishings,19.3,5.79,0.64,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,FUR-FU-10002918,Furniture,Furnishings,272.94,30.0234,20.68,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-AP-10002311,Office Supplies,Appliances,247.716,93.5816,14.53,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-ST-10003123,Office Supplies,Storage,66.58,15.9792,8.4,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-AR-10004456,Office Supplies,Art,43.92,12.7368,4.88,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-BI-10004364,Office Supplies,Binders,29.7,13.365,1.98,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-BI-10000605,Office Supplies,Binders,19.05,8.9535,1.21,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,OFF-ST-10000760,Office Supplies,Storage,13.98,4.0542,1.14,Medium
2011/1/21,XP-21865,Consumer,Michigan,Central,FUR-FU-10002268,Furniture,Furnishings,14.73,4.8609,0.71,Medium
2011/1/21,MM-18280,Corporate,Tennessee,South,OFF-BI-10003091,Office Supplies,Binders,67.194,-51.5154,3,Medium
2011/1/22,TB-21400,Consumer,Florida,South,FUR-FU-10001889,Furniture,Furnishings,25.248,4.1028,3.64,Critical
2011/1/24,IM-15055,Consumer,Nevada,West,OFF-PA-10001804,Office Supplies,Paper,40.08,19.2384,4.31,Medium
2011/1/24,SG-20605,Consumer,Indiana,Central,OFF-FA-10003467,Office Supplies,Fasteners,5.94,0,0.95,High
2011/1/27,CA-11965,Corporate,South Dakota,Central,FUR-BO-10004409,Furniture,Bookcases,141.96,39.7488,24.59,High
2011/1/27,CA-11965,Corporate,South Dakota,Central,OFF-BI-10001758,Office Supplies,Binders,10.68,5.0196,1.39,High
2011/1/27,SD-20485,Home Office,Virginia,South,OFF-ST-10004337,Office Supplies,Storage,489.92,0,21.48,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,TEC-PH-10002103,Technology,Phones,187.98,52.6344,17.66,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,TEC-PH-10004833,Technology,Phones,155.35,0,11.95,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,FUR-FU-10004587,Furniture,Furnishings,62.82,30.7818,6.15,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,OFF-PA-10003072,Office Supplies,Paper,19.44,9.3312,1.53,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,OFF-PA-10000380,Office Supplies,Paper,16.68,8.34,1.13,Medium
2011/1/27,SD-20485,Home Office,Virginia,South,FUR-FU-10001847,Furniture,Furnishings,12.42,4.4712,0.43,Medium
2011/1/28,EJ-13720,Consumer,California,West,FUR-TA-10003469,Furniture,Tables,333,-16.65,23.43,Medium
2011/1/28,EJ-13720,Consumer,California,West,OFF-ST-10003692,Office Supplies,Storage,57.23,14.3075,4,Medium
2011/1/28,EJ-13720,Consumer,California,West,OFF-AR-10003179,Office Supplies,Art,36.44,12.0252,3.25,Medium
2011/1/29,JC-15340,Consumer,New York,East,OFF-BI-10000343,Office Supplies,Binders,3.928,1.3257,0.36,Medium
2011/1/31,MV-18190,Consumer,Michigan,Central,OFF-ST-10000991,Office Supplies,Storage,229.94,6.8982,22.58,High
2011/1/31,MV-18190,Consumer,Michigan,Central,OFF-PA-10001204,Office Supplies,Paper,10.56,4.752,1.2,High
2011/2/1,LC-17050,Consumer,California,West,FUR-BO-10003966,Furniture,Bookcases,290.666,3.4196,54.64,High
2011/2/2,BD-11500,Consumer,Wisconsin,Central,TEC-AC-10001432,Technology,Accessories,468.9,206.316,66.88,High
2011/2/3,EB-13930,Consumer,Florida,South,TEC-PH-10002890,Technology,Phones,180.96,13.572,4.99,Medium
2011/2/3,EB-13930,Consumer,Florida,South,OFF-BI-10000666,Office Supplies,Binders,18.336,-12.224,1.66,Medium
2011/2/3,CD-12790,Home Office,California,West,OFF-FA-10001843,Office Supplies,Fasteners,12.35,5.8045,0.29,Medium
2011/2/4,TB-21400,Consumer,Washington,West,OFF-BI-10004593,Office Supplies,Binders,83.84,27.248,8.82,High
2011/2/4,TB-21400,Consumer,Washington,West,OFF-BI-10002827,Office Supplies,Binders,13.272,4.3134,2.26,High
2011/2/5,MH-17440,Corporate,California,West,OFF-BI-10003676,Office Supplies,Binders,17.248,6.0368,3.37,High
2011/2/5,DB-13270,Home Office,California,West,OFF-PA-10000350,Office Supplies,Paper,34.24,16.0928,3.16,High
2011/2/5,DB-13270,Home Office,California,West,OFF-BI-10004230,Office Supplies,Binders,82.896,29.0136,2.55,High
2011/2/7,DL-13315,Consumer,Illinois,Central,OFF-BI-10001196,Office Supplies,Binders,8.952,-14.7708,0.51,Medium
2011/2/7,ND-18460,Corporate,Virginia,South,TEC-PH-10001615,Technology,Phones,144.95,42.0355,33.51,Medium
2011/2/7,ND-18460,Corporate,Virginia,South,TEC-PH-10003645,Technology,Phones,161.61,42.0186,25.28,Medium
2011/2/7,ND-18460,Corporate,Virginia,South,OFF-LA-10002787,Office Supplies,Labels,15,7.2,2.27,Medium
2011/2/8,CK-12760,Corporate,New Jersey,East,TEC-AC-10000710,Technology,Accessories,115.36,49.6048,12.6,Medium
2011/2/8,CS-12250,Corporate,New York,East,OFF-ST-10001558,Office Supplies,Storage,64.96,9.744,19.07,Critical
2011/2/9,NM-18445,Home Office,Nevada,West,FUR-FU-10002111,Furniture,Furnishings,14.56,5.5328,1.57,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,FUR-FU-10002298,Furniture,Furnishings,332.94,53.2704,18.55,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,FUR-CH-10001146,Furniture,Chairs,60.89,15.2225,10.07,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,OFF-ST-10002583,Office Supplies,Storage,64.96,2.5984,6.78,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,OFF-BI-10004654,Office Supplies,Binders,51.9,24.393,3.52,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,OFF-LA-10004853,Office Supplies,Labels,14.94,6.8724,1.12,Medium
2011/2/12,GA-14725,Consumer,Missouri,Central,OFF-BI-10004728,Office Supplies,Binders,9.64,4.4344,0.33,Medium
2011/2/12,NF-18385,Consumer,Virginia,South,FUR-TA-10003715,Furniture,Tables,1256.22,75.3732,212.94,High
2011/2/12,NF-18385,Consumer,Virginia,South,TEC-AC-10001432,Technology,Accessories,234.45,103.158,38.36,High
2011/2/12,NF-18385,Consumer,Virginia,South,OFF-BI-10003291,Office Supplies,Binders,17.46,8.2062,1.47,High
2011/2/13,SC-20095,Consumer,California,West,FUR-CH-10000225,Furniture,Chairs,129.568,-24.294,3.26,Medium
2011/2/15,ST-20530,Consumer,Texas,Central,OFF-PA-10000466,Office Supplies,Paper,16.176,6.066,1.27,High
2011/2/15,ML-17395,Corporate,Washington,West,OFF-SU-10000157,Office Supplies,Supplies,238.62,4.7724,20.08,Medium
2011/2/15,ML-17395,Corporate,Washington,West,TEC-AC-10000736,Technology,Accessories,239.97,86.3892,13.45,Medium
2011/2/15,ML-17395,Corporate,Washington,West,OFF-AP-10001293,Office Supplies,Appliances,81.96,22.9488,4.71,Medium
2011/2/16,BF-11020,Corporate,Washington,West,OFF-BI-10001031,Office Supplies,Binders,21.36,7.209,2.41,Medium
2011/2/17,MN-17935,Consumer,Texas,Central,OFF-AP-10001303,Office Supplies,Appliances,7.96,-13.93,0.92,High
2011/2/17,MN-17935,Consumer,Texas,Central,OFF-BI-10002012,Office Supplies,Binders,1.08,-1.728,0.11,High
